emp_id,review_link,review_title,review_rating,emp_info,review_time,pros,cons
empReview_70946866,/Reviews/Employee-Review-Glassdoor-RVW70946866.htm,Best place I've ever worked!,5.0, Lead Product Manager,"Nov 9, 2022","Glassdoor is my favorite company I've ever worked at. The company has done a great job of hiring people who are genuine, smart, hard-working, and passionate about the mission. You really get the sense that leadership cares about you & your wellbeing. I've felt very supported from a career development and mentorship perspective as well. Some highlights of working here: - Amazing work-life balance - Kind & fun coworkers - Work-from-anywhere policy (+ nice offices in SF & Chicago for those who want to be hybrid) - Benefits are solid! Great health insurance options, 5 month parental leave, plus some fertility & therapy-related benefits - People are largely bought into the vision I think it's a great place to build your career as a PM!",- Compensation could be better (compared to big tech) - Would be nice to have a larger 401k match - Many tech companies offer a paid sabbatical for those who have been at the company for 3+ years. Would be nice if Glassdoor offered something similar!
empReview_71651779,/Reviews/Employee-Review-Glassdoor-RVW71651779.htm,Good leadership team that cares about employees and the product. Great vision and strategy.,5.0, Anonymous Employee,"Dec 6, 2022",Culture and work life balance,Won’t get the typical total comp or upside  compared to other tech companies but other tangibles make up for it.
empReview_71516987,/Reviews/Employee-Review-Glassdoor-RVW71516987.htm,Excited for the future,5.0," Financein San Francisco, CA","Nov 30, 2022",1) A noble mission and exciting new product vision focused on community 2) A genuinely nice bunch of people to work with 3) Ability to work remotely and good work life balance 4) Opportunities for step change career growth if you want it,1) Operating model with Recruit / Indeed is complex and can lead to operational friction 2) Core business growth has slowed and new bets still early / not paid off yet 3) Can be hard to get additional resources
empReview_70964326,/Reviews/Employee-Review-Glassdoor-RVW70964326.htm,Love this company,5.0, Anonymous Employee,"Nov 10, 2022","* Wonderful mission driving workplace transparency. I feel excited for the work we do and the direction we are going. * Great culture. Company values (grit, transparency, innovation, good people) are a great representation on what it's like to work here. People are truly good to one another here * Solid comp and benefits.",* Macro uncertainty has led to a hiring freeze and a feeling of like we could do more if we had more reources
empReview_66608999,/Reviews/Employee-Review-Glassdoor-RVW66608999.htm,Glassdoor leads with transparency!,5.0," Senior Customer Success Managerin Chicago, IL","Jul 12, 2022","- I genuinely enjoy my day-to-day job & coworkers 
- Glassdoor really encourages feedback. Taking it a step further, Glassdoor implements change directly from that feedback. I have never seen a company action feedback as quickly as Glassdoor!
- Leadership cares about its employees & embodies transparency 
- The culture has remained strong even in a virtual world. The commitment to continuous D&I efforts is another strong pro of the company.
- Good overall benefits package including unlimited PTO & monthly company holidays
- I also appreciate how the company has responded to recent newsworthy events in support of our employees. It truly means a lot to me in turbulent times","- There can be delays due to internal system errors from time to time which can make tasks tedious at times
- The partnership with Indeed has had growing pains, but I will say it seems that further integration will help ease some of that frustration"
empReview_68076204,/Reviews/Employee-Review-Glassdoor-RVW68076204.htm,Great Culture - but sales rep are not prepared for success,2.0," Account Manager, Upper Mid Market","Aug 18, 2022","Glassdoor is one of the best companies I have ever worked for culture, D&I, and benefit wise.","But in regards to overall sales experience, I have had a below average experience:

- base+OTE is on lower side
- poor sales process post close (lost of internal cases/billing) + tons of account transitions (hard to build relationship)
-due to the amount of account transitions - you will lose your big accounts all the time.
-will receive quarterly quotas halfway through the quarter (you will be selling blind for half of the quarter) 
-Monthly contests only yield max 500-1000$ extra
-no onboarding/training
-hiring managers that have no experience selling product or tools
-have to renew clients with less than 15/30 days notice or it will negatively affect your commission. Leadership does not set reps up for success, they actually have their reps start in a whole every quarter, due to account transitions."
empReview_68383758,/Reviews/Employee-Review-Glassdoor-RVW68383758.htm,Get What You Give,5.0, Enterprise Employer Branding Specialist,"Aug 26, 2022","The people here are everything; I've never met a coworker I haven't gotten along with. You can ask anyone questions and they are happy to help. No micromanaging, flexible hours/ remote work environment, and opportunities to grow when you put in the work!","You have to wear a lot of hats in this role. There are no ""slow"" days and there is always something more you could be doing. Days are filled with meetings, so it's often necessary to log on in the evening to catch up on emails/ admin work. Most reps do not hit quota and are not paid out 100%."
empReview_70315117,/Reviews/Employee-Review-Glassdoor-RVW70315117.htm,Supportive place with growth opportunities,5.0, Product Manager,"Oct 19, 2022",Very supportive leaders and team who are smart and eager to collaborate. A players working together in a safe and fun environment.,Many meetings and stakeholders make it easy to get fatigued but the company encourages time off to refresh.
empReview_67062924,/Reviews/Employee-Review-Glassdoor-RVW67062924.htm,Growing pains,3.0, Sales Representative,"Jul 23, 2022",The culture! Love love love the culture and the people and genuinely love the work that we are doing here.,"Days can be very long and the workload very draining. We have a partnership with Indeed that still has its growing pains. I find myself working very late hours and not having much (or all) of a work life balance. We have unlimited PTO but I’m very scared to use it. This is my first sales role where we have quarterly quotas and account changes and it’s very hard to build relationships and consistency with your accounts. Love the work I’m doing, but it’s very overwhelming and internal help/support is hard to find as we don’t have direct point of contacts for departments. There’s just a lot on our plates :("
empReview_67963539,/Reviews/Employee-Review-Glassdoor-RVW67963539.htm,Great Collaborative Environment,5.0, Engineer,"Aug 16, 2022","I love working here, it's the best job I've had. It's great to work somewhere where your manager wants you to succeed, and the environment is supportive, curious, and open-minded. The work is complicated and can be very difficult so you will grow here. Of course, great benefits and pay transparency helps too.","People are very focused on their work here so you may need to reach out yourself to make connections with others. That said, everyone is friendly and helpful."
